Fund Name,Scheme Type,Scheme Category,Plan,AUM,TER,PE,PB,Top 3 Holdings,Top 5 Holdings,Top 10 Holdings,Sharpe,Sortino,St Dev,Inception,Age in yrs,Score
Higher/lower,,,,higher,lower,lower,lower,lower,lower,lower,higher,higher,lower,higher,higher,
Kotak Technology Fund,Equity Scheme,Sectoral Fund - Technology,Growth,669.1989,0.88,33.9638,6.99,44.45908384,57.01530591,76.64969264,-0.812774803,-0.0836,16.85893746,0,2.083333333,4149.488648
Samco Active Momentum Fund,Equity Scheme,Thematic Fund,Growth,662.799,0.92,29.8002,3.51,56.86966939,59.65603448,65.70219629,-1.006443799,-0.0881,13.82159109,0,2.75,4139.950122
Baroda BNP Paribas Business Cycle Fund,Equity Scheme,Thematic Fund,IDCW,567.5797,0.93,30.8065,4.04,15.89910633,25.63400347,40.55116841,0.661966978,0.0716,13.82159109,0,4.583333333,4109.560226
Baroda BNP Paribas Business Cycle Fund,Equity Scheme,Thematic Fund,Growth,567.5797,0.93,30.8065,4.04,15.89910633,25.63400347,40.55116841,0.661966978,0.0716,13.82159109,0,4.583333333,4109.560226
Navi Nifty Bank Index Fund,Equity Scheme,Index Fund,Growth,665.781214,0.16,16.0561,1.91,50.73982262,69.68985415,90.31102235,1.214399852,0.1382,14.87480402,0,4.166666667,4086.035328
PGIM India Large Cap Fund,Equity Scheme,Large Cap Fund,Growth,570.1515,0.85,27.5473,4.04,24.3116961,33.30483214,47.55050193,0.512746604,0.0583,11.76201976,12.42699258,13.25,4068.238058
Kotak Quant Fund,Equity Scheme,Thematic Fund,IDCW,538.6527,1.16,23.2789,3.89,11.13125396,17.83475698,33.45263098,0.823886958,0.0859,13.82159109,0,2.666666667,4051.476883
Kotak Quant Fund,Equity Scheme,Thematic Fund,Growth,538.6527,1.16,23.2789,3.89,11.13125396,17.83475698,33.45263098,0.822299507,0.0858,13.82159109,0,2.666666667,4051.451771
PGIM India Large Cap Fund,Equity Scheme,Large Cap Fund,IDCW,570.1515,0.85,27.5473,4.04,24.3116961,33.30483214,47.55050193,0.500046998,0.0567,11.76201976,3.913511892,13.25,4042.486321
ICICI Pru Nifty 200 Momentum 30 Index Fund,Equity Scheme,Index Fund,Growth,564.1497491,0.37,26.2077,3.94,16.95691616,27.02518263,48.71839444,0.490522293,0.0533,14.87480402,0,3.666666667,4014.260728
ICICI Pru Nifty 200 Momentum 30 Index Fund,Equity Scheme,Index Fund,IDCW,564.1497491,0.37,26.2077,3.94,16.95691616,27.02518263,48.71839444,0.490522293,0.0533,14.87480402,0,3.666666667,4014.260728
ITI Focused Fund,Equity Scheme,Focused Fund,Growth,559.7638,0.58,26.9086,3.8,18.38923846,28.70083775,48.10110979,1.035017913,0.112,13.25564873,0,2.833333333,3968.591609
ITI Focused Fund,Equity Scheme,Focused Fund,IDCW,559.7638,0.58,26.9086,3.8,18.38923846,28.70083775,48.10110979,1.035017913,0.112,13.25564873,0,2.833333333,3968.591609
Quant Manufacturing Fund,Equity Scheme,Thematic Fund,Growth,641.8719,1.03,33.5477,3.52,38.64789844,55.15614564,86.92622313,-0.084134892,-0.0086,13.82159109,0,2.666666667,3950.856252
Quant Manufacturing Fund,Equity Scheme,Thematic Fund,IDCW,641.8719,1.03,33.5477,3.52,38.64789844,55.15614564,86.92622313,-0.085722342,-0.0087,13.82159109,0,2.666666667,3950.831141
UTI BSE Low Volatility Index Fund,Equity Scheme,Index Fund,Growth,531.6112,0.44,26.8729,4.3,12.71521367,20.24861402,38.0564405,0.490522293,0.0553,14.87480402,0,4.083333333,3889.228519
Baroda BNP Paribas Health and Wellness Fund,Equity Scheme,Sectoral Fund - Pharma & Health Care,IDCW,564.8487,0.6,41.4529,6.09,21.31030841,31.51188982,53.02630598,-1.00803125,-0.0991,13.16350135,0,0.833333333,3768.536352
Baroda BNP Paribas Health and Wellness Fund,Equity Scheme,Sectoral Fund - Pharma & Health Care,Growth,564.8487,0.6,41.4529,6.09,21.31030841,31.51188982,53.02630598,-1.00803125,-0.0991,13.16350135,0,0.833333333,3768.536352
